id,name,email,companyId,role
0z3d3b4c-0d6a-9e7z-3b8c-4d2a6z7b0e3c,Ximena Rojas,ximena@baggioimoveis.com.br,baggio-company-id,broker
10e4c5d-1e7b-0f8a-4c9d-5e3b7a8c1f4d,Yasmin Souza,yasmin@delmack.com.br,delmack-company-id,broker
11f5d6e-2f8c-1g9b-5d0e-6f4c8b9d2g5e,Zoe Martins,zoe@baggioimoveis.com.br,baggio-company-id,broker
12g6e7f-3g9d-2h0c-6e1f-7g5d9c0e3h6f,Admin User,admin@delmack.com.br,delmack-company-id,admin
13h7f8g-4h0e-3i1d-7f2g-8h6e0d1f4i7g,Manager User,manager@delmack.com.br,delmack-company-id,manager
14i8g9h-5i1f-4j2e-8g3h-9i7f1e2g5j8h,Finance User,finance@delmack.com.br,delmack-company-id,finance
15j9h0i-6j2g-5k3f-9h4i-0j8g2f3h6k9i,Viewer User,viewer@delmack.com.br,delmack-company-id,viewer
16k0i1j-7k3h-6l4g-0i5j-1k9h3g4i7l0j,Broker User,broker@delmack.com.br,delmack-company-id,broker
17l1j2k-8l4i-7m5h-1j6k-2l0i4h5j8m1k,Test User 1,test1@baggioimoveis.com.br,baggio-company-id,broker
18m2k3l-9m5j-8n6i-2k7l-3m1j5i6k9n2l,Test User 2,test2@delmack.com.br,delmack-company-id,broker
19n3l4m-0n6k-9o7j-3l8m-4n2k6j7l0o3m,Test User 3,test3@baggioimoveis.com.br,baggio-company-id,broker
1a0o4m5n-1o7l-0p8k-4m9n-5o3l7k8m1p4n,Test User 4,test4@delmack.com.br,delmack-company-id,broker
1b1p5n6o-2p8m-1q9l-5n0o-6p4m8l9n2q5o,Test User 5,test5@baggioimoveis.com.br,baggio-company-id,broker
1c2q6o7p-3q9n-2r0m-6o1p-7q5n9m0o3r6p,Test User 6,test6@delmack.com.br,delmack-company-id,broker
1d3r7p8q-4r0o-3s1n-7p2q-8r6o0n1p4s7q,Test User 7,test7@baggioimoveis.com.br,baggio-company-id,broker
1e4s8q9r-5s1p-4t2o-8q3r-9s7p1o2q5t8r,Test User 8,test8@delmack.com.br,delmack-company-id,broker
1f5t9r0s-6t2q-5u3p-9r4s-0t8q2p3r6u9s,delmackconsultoria@gmail.com,delmackconsultoria@gmail.com,delmack-company-id,admin
